fragility_point_rate,fragility_trajectory_rate,mean_k_clean,mean_k_noisy,checked_points,checked_trajectories,lambda
0.0,0.0,5.200949707025017,5.2012236796277564,3471,50,0.5
0.0,0.0,46.296121945993164,46.29485791762752,3471,50,1.0
0.0,0.0,45.6547221103829,45.65596737205199,3471,50,2.0
0.0,0.0,41.76343334899341,41.76588254247049,3471,50,3.0
